4/7/2568,,สมส่วน บูติค,,,,,Page 1/1
15:01:19,,รายงาน ประวัติการสร้างสินค้า,,,,,
R05.127,,ประจำปี 2568,,,,,
วันที่ เวลา สร้างสินค้า,,,รหัสสินค้า,,Barcode,รายการ,
21/4/2025 16:04,,,CL027,,CL027,แปรงล้างห้องน้ำ - หัวแบน (จงอย) #7133 ต้า,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL023,,CL023,แปรงขัดรองเท้าดำ 666 แปรงไทย,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL020,,CL020,แปรงซักผ้า (ไม้เล็ก) แป้นไม้-ขนสีนม NCL,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL016,,1800463,แปรงซักเสื้อ-แป้นไม้ (ไดโน) NCL,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL017,,8.85194E+12,แปรงซักเสื้อขนใส-อีสแมน S-09 BB,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL029,,8.8594E+12,แปรงล้างขวดคู่ #2377 (ด้าม S/หนอนลูกซ่อน),
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL033,,CL033,แปรงล้างห้องน้ำ #17328 TLL,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL012,,CL012,ฟองน้ำล้างรถ #5 ดอกบัว PSS,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL026,,8.8594E+12,แปรงลวดด้าม ทด 1*2 #10669 IMM,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL070,,CL070,ถุงซักผ้า - ลาย 50*60 #6958 (20บ) ถุงชมพู,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL040,,CL040,แปรงล้างขวดเดี่ยว (51) AJ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL048,,CL048,แปรงซักผ้าแป้นพลาสติก ขน 2 สี 00949 D,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL065,,CL065,ถังขยะเหยียบ 2601 (เหลี่ยม) ตราเสือ NPC,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL062,,CL062,"โกยขยะ - ปิ๊ปเหล็ก (39 บ.) CC, SK",
,,,,,,,
,,,,,,,
